Date,Ticker,Close,Volume,Daily_Return_Pct,RSI_14,Volatility_20d,SMA_50,SMA_200,Signal
2024-01-22,AAPL,192.08,60133900.0,,,,,,VENTA (Bearish)
2024-01-23,AAPL,193.35,42355600.0,0.67,,,,,VENTA (Bearish)
2024-01-24,AAPL,192.68,53631300.0,-0.35,,,,,VENTA (Bearish)
2024-01-25,AAPL,192.35,54822100.0,-0.17,,,,,VENTA (Bearish)
2024-01-26,AAPL,190.62,44594000.0,-0.9,,,,,VENTA (Bearish)
2024-01-29,AAPL,189.94,47145600.0,-0.36,,,,,VENTA (Bearish)
2024-01-30,AAPL,186.28,55859400.0,-1.92,,,,,VENTA (Bearish)
2024-01-31,AAPL,182.67,55467800.0,-1.94,,,,,VENTA (Bearish)
2024-02-01,AAPL,185.11,64885400.0,1.33,,,,,VENTA (Bearish)
2024-02-02,AAPL,184.11,102551700.0,-0.54,,,,,VENTA (Bearish)
2024-02-05,AAPL,185.92,69668800.0,0.98,,,,,VENTA (Bearish)
2024-02-06,AAPL,187.53,43490800.0,0.86,,,,,VENTA (Bearish)
2024-02-07,AAPL,187.64,53439000.0,0.06,,,,,VENTA (Bearish)
2024-02-08,AAPL,186.56,40962000.0,-0.58,36.21,,,,VENTA (Bearish)
2024-02-09,AAPL,187.32,45155200.0,0.41,38.55,,,,VENTA (Bearish)
2024-02-12,AAPL,185.64,41781900.0,-0.9,31.77,,,,VENTA (Bearish)
2024-02-13,AAPL,183.54,56529500.0,-1.13,29.78,,,,VENTA (Bearish)
2024-02-14,AAPL,182.66,54630500.0,-0.48,29.06,,,,VENTA (Bearish)
2024-02-15,AAPL,182.37,65434500.0,-0.16,31.0,,,,VENTA (Bearish)
2024-02-16,AAPL,180.83,49752500.0,-0.84,29.83,,,,VENTA (Bearish)
2024-02-20,AAPL,180.09,53665600.0,-0.41,34.25,3.9,,,VENTA (Bearish)
2024-02-21,AAPL,180.84,41371400.0,0.42,44.55,3.84,,,VENTA (Bearish)
2024-02-22,AAPL,182.88,52292200.0,1.12,43.19,4.11,,,VENTA (Bearish)
2024-02-23,AAPL,181.04,45119700.0,-1.0,41.09,4.18,,,VENTA (Bearish)
2024-02-26,AAPL,179.69,40867400.0,-0.75,31.41,4.15,,,VENTA (Bearish)
2024-02-27,AAPL,181.15,54318900.0,0.81,30.81,4.3,,,VENTA (Bearish)
2024-02-28,AAPL,179.95,48953900.0,-0.66,28.29,3.94,,,VENTA (Bearish)
2024-02-29,AAPL,179.29,136682600.0,-0.37,28.97,3.49,,,VENTA (Bearish)
2024-03-01,AAPL,178.21,73563100.0,-0.6,24.11,3.18,,,VENTA (Bearish)
2024-03-04,AAPL,173.68,81510100.0,-2.54,20.77,3.95,,,VENTA (Bearish)
2024-03-05,AAPL,168.74,95132400.0,-2.84,18.23,4.47,,,VENTA (Bearish)
2024-03-06,AAPL,167.75,68587700.0,-0.59,18.14,4.24,,,VENTA (Bearish)
2024-03-07,AAPL,167.63,71765100.0,-0.07,18.28,4.23,,,VENTA (Bearish)
2024-03-08,AAPL,169.35,76267000.0,1.02,25.47,4.51,,,VENTA (Bearish)
2024-03-11,AAPL,171.35,60139500.0,1.18,32.29,4.73,,,VENTA (Bearish)
2024-03-12,AAPL,171.83,59825400.0,0.28,31.52,4.76,,,VENTA (Bearish)
2024-03-13,AAPL,169.75,52488700.0,-1.21,23.13,4.77,,,VENTA (Bearish)
2024-03-14,AAPL,171.6,72913500.0,1.09,30.7,5.0,,,VENTA (Bearish)
2024-03-15,AAPL,171.22,121752700.0,-0.22,31.97,4.99,,,VENTA (Bearish)
2024-03-18,AAPL,172.31,75604200.0,0.64,30.89,5.05,,,VENTA (Bearish)
2024-03-19,AAPL,174.66,55215200.0,1.36,39.08,5.29,,,VENTA (Bearish)
2024-03-20,AAPL,177.22,53423100.0,1.47,46.06,5.5,,,VENTA (Bearish)
2024-03-21,AAPL,169.98,106181300.0,-4.09,37.28,6.64,,,VENTA (Bearish)
2024-03-22,AAPL,170.89,71160100.0,0.53,45.13,6.66,,,VENTA (Bearish)
2024-03-25,AAPL,169.47,54288300.0,-0.83,51.44,6.67,,,VENTA (Bearish)
2024-03-26,AAPL,168.34,57388400.0,-0.67,51.16,6.57,,,VENTA (Bearish)
2024-03-27,AAPL,171.91,60273300.0,2.12,57.43,7.01,,,VENTA (Bearish)
2024-03-28,AAPL,170.09,65672700.0,-1.06,51.29,7.06,,,VENTA (Bearish)
2024-04-01,AAPL,168.65,46240500.0,-0.85,45.23,7.08,,,VENTA (Bearish)
2024-04-02,AAPL,167.47,49329500.0,-0.7,42.5,6.68,178.93,,VENTA (Bearish)
2024-04-03,AAPL,168.28,47691700.0,0.48,47.35,6.08,178.45,,VENTA (Bearish)
2024-04-04,AAPL,167.45,53704400.0,-0.49,42.24,6.07,177.93,,VENTA (Bearish)
2024-04-05,AAPL,168.21,42104800.0,0.45,44.43,6.09,177.44,,VENTA (Bearish)
2024-04-08,AAPL,167.09,37425500.0,-0.67,40.36,6.03,176.94,,VENTA (Bearish)
2024-04-09,AAPL,168.3,42373800.0,0.72,37.76,5.95,176.49,,VENTA (Bearish)
2024-04-10,AAPL,166.42,49709300.0,-1.11,28.64,6.02,176.02,,VENTA (Bearish)
2024-04-11,AAPL,173.62,91070300.0,4.33,57.21,7.39,175.77,,VENTA (Bearish)
2024-04-12,AAPL,175.12,101670900.0,0.86,58.2,7.36,175.62,,VENTA (Bearish)
2024-04-15,AAPL,171.29,73531800.0,-2.19,53.23,7.71,175.34,,VENTA (Bearish)
2024-04-16,AAPL,168.01,73711200.0,-1.92,49.46,7.91,175.02,,VENTA (Bearish)
2024-04-17,AAPL,166.64,50901200.0,-0.81,40.66,7.79,174.63,,VENTA (Bearish)
2024-04-18,AAPL,165.69,43122900.0,-0.57,41.94,7.58,174.19,,VENTA (Bearish)
2024-04-19,AAPL,163.66,68149400.0,-1.22,41.07,6.56,173.72,,VENTA (Bearish)
2024-04-22,AAPL,164.5,48116400.0,0.51,44.6,6.56,173.27,,VENTA (Bearish)
2024-04-23,AAPL,165.55,49537800.0,0.64,45.1,6.57,172.84,,VENTA (Bearish)
2024-04-24,AAPL,167.65,48251800.0,1.27,50.34,6.68,172.48,,VENTA (Bearish)
2024-04-25,AAPL,168.52,50558300.0,0.51,50.53,6.32,172.18,,VENTA (Bearish)
2024-04-26,AAPL,167.93,44838400.0,-0.35,51.47,6.25,171.88,,VENTA (Bearish)
2024-04-29,AAPL,172.1,68169400.0,2.48,56.01,6.68,171.68,,VENTA (Bearish)
2024-04-30,AAPL,168.95,65934800.0,-1.83,53.84,6.91,171.44,,VENTA (Bearish)
2024-05-01,AAPL,167.93,50383100.0,-0.6,39.35,6.93,171.2,,VENTA (Bearish)
2024-05-02,AAPL,171.63,94214900.0,2.2,43.96,7.24,171.01,,VENTA (Bearish)
2024-05-03,AAPL,181.9,163224100.0,5.98,64.99,9.31,170.99,,VENTA (Bearish)
2024-05-06,AAPL,180.24,78569700.0,-0.91,68.13,9.34,170.98,,VENTA (Bearish)
2024-05-07,AAPL,180.92,77305800.0,0.38,71.61,9.34,171.0,,VENTA (Bearish)
2024-05-08,AAPL,181.26,45057100.0,0.19,74.01,9.21,171.0,,VENTA (Bearish)
2024-05-09,AAPL,183.08,48983000.0,1.0,80.12,8.29,171.07,,VENTA (Bearish)
2024-05-10,AAPL,181.82,50759500.0,-0.69,76.51,8.32,171.12,,VENTA (Bearish)
2024-05-13,AAPL,185.02,72044800.0,1.76,77.97,8.06,171.25,,VENTA (Bearish)
2024-05-14,AAPL,186.17,52393600.0,0.62,77.34,7.68,171.5,,VENTA (Bearish)
2024-05-15,AAPL,188.44,70400000.0,1.22,78.25,7.58,171.9,,VENTA (Bearish)
2024-05-16,AAPL,188.56,52845200.0,0.06,79.64,7.5,172.31,,VENTA (Bearish)
2024-05-17,AAPL,188.59,41282900.0,0.02,76.9,7.27,172.73,,VENTA (Bearish)
2024-05-20,AAPL,189.75,44361300.0,0.62,86.26,7.26,173.14,,VENTA (Bearish)
2024-05-21,AAPL,191.05,42309400.0,0.69,89.92,7.26,173.53,,VENTA (Bearish)
2024-05-22,AAPL,189.61,34648500.0,-0.75,83.68,7.39,173.89,,VENTA (Bearish)
2024-05-23,AAPL,185.62,51005900.0,-2.11,59.11,7.88,174.21,,VENTA (Bearish)
2024-05-24,AAPL,188.7,36327000.0,1.66,69.36,7.91,174.55,,VENTA (Bearish)
2024-05-28,AAPL,188.71,52280100.0,0.01,68.38,7.67,174.9,,VENTA (Bearish)
2024-05-29,AAPL,189.01,53068000.0,0.16,68.32,7.29,175.23,,VENTA (Bearish)
2024-05-30,AAPL,190.0,49889100.0,0.53,67.04,7.19,175.54,,VENTA (Bearish)
2024-05-31,AAPL,190.95,75158300.0,0.5,72.84,6.99,175.81,,VENTA (Bearish)
2024-06-03,AAPL,192.72,50080500.0,0.93,70.73,4.07,176.27,,VENTA (Bearish)
2024-06-04,AAPL,193.04,47471400.0,0.16,69.37,3.88,176.71,,VENTA (Bearish)
2024-06-05,AAPL,194.55,54156800.0,0.78,67.99,3.9,177.21,,VENTA (Bearish)
2024-06-06,AAPL,193.17,41181800.0,-0.71,62.64,4.05,177.71,,VENTA (Bearish)
2024-06-07,AAPL,195.56,53103900.0,1.24,66.92,4.09,178.18,,VENTA (Bearish)
2024-06-10,AAPL,191.82,97010200.0,-1.91,54.46,4.57,178.62,,VENTA (Bearish)
2024-06-11,AAPL,205.75,172373300.0,7.26,70.52,8.27,179.36,,VENTA (Bearish)
2024-06-12,AAPL,211.63,198134300.0,2.86,77.35,8.59,180.24,,VENTA (Bearish)
2024-06-13,AAPL,212.79,97862700.0,0.55,86.31,8.57,181.13,,VENTA (Bearish)
2024-06-14,AAPL,211.06,70122700.0,-0.82,80.98,8.67,182.01,,VENTA (Bearish)
2024-06-17,AAPL,215.21,93728300.0,1.97,82.94,8.76,182.95,,VENTA (Bearish)
2024-06-18,AAPL,212.84,79943300.0,-1.1,78.18,8.94,183.86,,VENTA (Bearish)
2024-06-20,AAPL,208.27,86172500.0,-2.15,69.91,9.35,184.66,,VENTA (Bearish)
2024-06-21,AAPL,206.09,241805100.0,-1.04,66.07,9.39,185.45,,VENTA (Bearish)
2024-06-24,AAPL,206.74,80727000.0,0.31,65.24,9.01,186.12,,VENTA (Bearish)
2024-06-25,AAPL,207.66,55549700.0,0.45,65.69,8.93,186.77,,VENTA (Bearish)
2024-06-26,AAPL,211.81,66213200.0,2.0,67.53,9.04,187.58,,VENTA (Bearish)
2024-06-27,AAPL,212.66,49772700.0,0.4,70.01,9.03,188.47,,VENTA (Bearish)
2024-06-28,AAPL,209.2,82542700.0,-1.63,63.71,9.3,189.32,,VENTA (Bearish)
2024-07-01,AAPL,215.29,60402900.0,2.91,72.53,9.61,190.31,,VENTA (Bearish)
2024-07-02,AAPL,218.78,58046200.0,1.62,65.64,9.66,191.42,,VENTA (Bearish)
2024-07-03,AAPL,220.06,37369800.0,0.58,61.37,9.64,192.53,,VENTA (Bearish)
2024-07-05,AAPL,224.81,60412400.0,2.16,64.78,9.76,193.71,,VENTA (Bearish)
2024-07-08,AAPL,226.28,59085900.0,0.65,68.86,9.64,194.88,,VENTA (Bearish)
2024-07-09,AAPL,227.14,48076100.0,0.38,66.09,9.64,196.06,,VENTA (Bearish)
2024-07-10,AAPL,231.41,62627700.0,1.88,73.81,9.26,197.33,,VENTA (Bearish)
2024-07-11,AAPL,226.03,64710600.0,-2.32,72.33,7.11,198.41,,VENTA (Bearish)
2024-07-12,AAPL,228.98,53046500.0,1.31,78.23,6.72,199.61,,VENTA (Bearish)
2024-07-15,AAPL,232.82,62631300.0,1.67,79.81,6.84,200.9,,VENTA (Bearish)
2024-07-16,AAPL,233.24,43234300.0,0.18,79.58,6.71,202.14,,VENTA (Bearish)
2024-07-17,AAPL,227.34,57345900.0,-2.53,67.26,7.18,203.04,,VENTA (Bearish)
2024-07-18,AAPL,222.67,66034600.0,-2.05,60.26,7.43,203.89,,VENTA (Bearish)
2024-07-19,AAPL,222.8,49151500.0,0.06,64.95,7.0,204.73,,VENTA (Bearish)
2024-07-22,AAPL,222.45,48201800.0,-0.16,59.01,6.87,205.55,,VENTA (Bearish)
2024-07-23,AAPL,223.49,39960300.0,0.47,56.31,6.87,206.36,,VENTA (Bearish)
2024-07-24,AAPL,217.07,61777600.0,-2.88,46.48,7.61,207.07,,VENTA (Bearish)
2024-07-25,AAPL,216.02,51391200.0,-0.48,38.65,7.4,207.69,,VENTA (Bearish)
2024-07-26,AAPL,216.49,41601300.0,0.22,37.02,7.4,208.29,,VENTA (Bearish)
2024-07-29,AAPL,216.77,36311800.0,0.13,36.04,7.17,208.86,,VENTA (Bearish)
2024-07-30,AAPL,217.32,41643800.0,0.26,28.94,6.58,209.44,,VENTA (Bearish)
2024-07-31,AAPL,220.58,50036300.0,1.5,41.29,6.55,210.08,,VENTA (Bearish)
2024-08-01,AAPL,216.89,62501000.0,-1.68,31.13,6.74,210.62,,VENTA (Bearish)
2024-08-02,AAPL,218.38,105568600.0,0.69,25.7,6.38,211.17,,VENTA (Bearish)
2024-08-05,AAPL,207.86,119548600.0,-4.82,18.13,7.85,211.53,,VENTA (Bearish)
2024-08-06,AAPL,205.83,69660500.0,-0.97,20.09,7.82,211.93,,VENTA (Bearish)
2024-08-07,AAPL,208.4,63516400.0,1.25,28.93,7.64,212.33,,VENTA (Bearish)
2024-08-08,AAPL,211.87,47161100.0,1.66,35.31,7.69,212.79,,VENTA (Bearish)
2024-08-09,AAPL,214.78,42201600.0,1.37,40.35,7.7,213.31,,VENTA (Bearish)
2024-08-12,AAPL,216.31,38028100.0,0.71,41.08,7.5,213.83,,VENTA (Bearish)
2024-08-13,AAPL,220.03,44155300.0,1.72,53.95,7.77,214.42,,VENTA (Bearish)
2024-08-14,AAPL,220.48,41960600.0,0.2,56.03,7.41,214.97,,VENTA (Bearish)
2024-08-15,AAPL,223.46,46414000.0,1.35,58.84,7.26,215.58,,VENTA (Bearish)
2024-08-16,AAPL,224.78,44340200.0,0.59,59.9,7.28,216.18,,VENTA (Bearish)
2024-08-19,AAPL,224.63,40687800.0,-0.07,59.1,7.28,216.81,,VENTA (Bearish)
2024-08-20,AAPL,225.24,30299000.0,0.27,56.22,7.27,217.41,,VENTA (Bearish)
2024-08-21,AAPL,225.13,34765500.0,-0.05,62.17,6.59,218.07,,VENTA (Bearish)
2024-08-22,AAPL,223.27,43695300.0,-0.83,57.15,6.64,218.42,,VENTA (Bearish)
2024-08-23,AAPL,225.57,38677300.0,1.03,84.03,6.69,218.7,,VENTA (Bearish)
2024-08-26,AAPL,225.91,30602200.0,0.15,91.25,6.69,218.96,,VENTA (Bearish)
2024-08-27,AAPL,226.75,35934600.0,0.37,90.59,6.69,219.28,,VENTA (Bearish)
2024-08-28,AAPL,225.22,38052200.0,-0.68,82.3,6.61,219.48,,VENTA (Bearish)
2024-08-29,AAPL,228.5,51906300.0,1.46,82.61,6.46,219.79,,VENTA (Bearish)
2024-08-30,AAPL,227.72,52990800.0,-0.34,78.1,6.47,220.18,,VENTA (Bearish)
2024-09-03,AAPL,221.52,50190600.0,-2.72,53.28,4.9,220.49,,VENTA (Bearish)
2024-09-04,AAPL,219.61,43840200.0,-0.86,48.22,4.87,220.75,,VENTA (Bearish)
2024-09-05,AAPL,221.14,36615400.0,0.69,44.89,4.79,221.02,,VENTA (Bearish)
