Date,Ticker,Close,Open,High,Low,Volume,Daily_Return_Pct,Volatility_Annualized,RSI_14,SMA_20,SMA_50,SMA_200,Signal_Trend,Last_Updated
2024-01-22,AAPL,192.076,190.5009,193.5026,190.4613,60133900.0,,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-01-23,AAPL,193.354,193.1955,193.9187,192.0166,42355600.0,0.6653,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-01-24,AAPL,192.6803,193.5917,194.5427,192.5218,53631300.0,-0.3484,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-01-25,AAPL,192.3534,193.3936,194.4338,191.3033,54822100.0,-0.1697,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-01-26,AAPL,190.6198,192.4525,192.9379,190.1443,44594000.0,-0.9013,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-01-29,AAPL,189.9362,190.2136,190.4019,187.8064,47145600.0,-0.3586,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-01-30,AAPL,186.2808,189.1537,190.0056,185.7161,55859400.0,-1.9246,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-01-31,AAPL,182.6748,185.2901,185.3496,182.6253,55467800.0,-1.9358,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-02-01,AAPL,185.1118,182.2687,185.201,182.1003,64885400.0,1.3341,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-02-02,AAPL,184.1113,178.1773,185.5774,177.573,102551700.0,-0.5405,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-02-05,AAPL,185.9241,186.3898,187.4795,184.1014,69668800.0,0.9847,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
2024-02-06,AAPL,187.529,185.1118,187.5389,185.0227,43490800.0,0.8632,,,,,,BEARISH (Bajista),2026-01-22 00:44:03
